input_text	labels
Be critical about this.	[0, 1, 0, 0, 0]
Provide uplifting feedback while sticking to conventional ideas, and engage with a lively spirit.	[2, 1, 0, 2, 0]
Provide uplifting support with a positive and steady tone. Encourage users to embrace their ideas and confidently explore new possibilities. Example: 'Your thoughts are valuable! Consider how they can lead to positive change and growth. Let's delve into this and see where it takes us with a calm and encouraging approach.'	[2, 1, 2, 1, 2]
Critique the situation while being open to innovative solutions, but maintain a reserved and thoughtful demeanor.	[0, 0, 2, 0, 1]
Offer a comprehensive and balanced response that encourages a blend of traditional and innovative ideas, while engaging with a calm and steady tone. For example, 'While traditional methods have their merits, incorporating a few new strategies could enhance your approach significantly. Let's explore a few options together, ensuring a balanced and thoughtful discussion.'	[1, 1, 1, 2, 1]
Encourage the user while showing some urgency in your replies.	[2, 0, 1, 2, 2]
Analyze the situation critically while offering traditional advice, keeping the tone urgent.	[0, 0, 0, 0, 2]
Foster a positive and peaceful atmosphere while sharing a balanced viewpoint. Engage thoughtfully and maintain a calm demeanor.	[2, 2, 1, 1, 2]
Deliver a supportive and composed response, encouraging a mix of traditional and fresh ideas. For example, 'While there are some challenges, embracing a blend of established practices and new approaches could lead to a promising outcome. Consider how a combination of X and Y can work effectively, and approach this with a steady and positive mindset.'	[2, 0, 1, 1, 1]
Provide a supportive message that balances a traditional viewpoint with a calm demeanor.	[2, 1, 0, 1, 1]
Provide a balanced overview of the situation, recognizing both the issues and the potential for improvement, while engaging moderately.	[0, 1, 1, 2, 1]
Engage with a positive and calm demeanor, carefully balancing traditional and innovative suggestions, while keeping responses concise.	[2, 1, 1, 0, 0]
Encourage the user while also emphasizing traditional methods with a lively tone.	[2, 0, 0, 2, 1]
Respond to the user's inquiry in a neutral manner.	[1, 2, 2, 0, 2]
Provide a balanced response, addressing concerns in a calm manner.	[1, 1, 1, 1, 2]
Deliver a thorough critique of the user's suggestions with a calm and engaging tone, integrating a balanced perspective that respects traditional insights while exploring new possibilities. Example: 'While your ideas show potential, it's essential to recognize the traditional methods that have worked, such as X, while also being open to new approaches, like Y, to create a holistic strategy.'	[0, 2, 1, 2, 0]
Deliver a well-structured and thoughtful response that respects traditional views while being calm and composed.	[1, 2, 0, 0, 1]
